# sens: 23
# slope: 3
# t_int: 8
# ref_v: 0.1
# Los datos estan ordenados de forma freqs, rs, ts.
4.950000000000000000e+04,6.610900000000000283e-03,-1.045679999999999978e+02
4.951111111111110949e+04,6.679560000000000185e-03,-1.045559999999999974e+02
4.952222222222221899e+04,6.713900000000000076e-03,-1.045499999999999972e+02
4.953333333333333576e+04,6.748230000000000027e-03,-1.045319999999999965e+02
4.954444444444444525e+04,6.786379999999999843e-03,-1.045079999999999956e+02
4.955555555555555475e+04,6.820709999999999794e-03,-1.045139999999999958e+02
4.956666666666666424e+04,6.858859999999999610e-03,-1.044899999999999949e+02
4.957777777777778101e+04,6.900820000000000218e-03,-1.044839999999999947e+02
4.958888888888889051e+04,6.942779999999999958e-03,-1.044539999999999935e+02
4.960000000000000000e+04,6.984739999999999699e-03,-1.044479999999999933e+02
4.961111111111110949e+04,7.026700000000000307e-03,-1.044120000000000061e+02
4.962222222222221899e+04,7.076289999999999837e-03,-1.044240000000000066e+02
4.963333333333333576e+04,7.129700000000000100e-03,-1.043760000000000048e+02
4.964444444444444525e+04,7.179289999999999630e-03,-1.043760000000000048e+02
4.965555555555555475e+04,7.232699999999999893e-03,-1.043760000000000048e+02
4.966666666666666424e+04,7.289920000000000080e-03,-1.043640000000000043e+02
4.967777777777778101e+04,7.350950000000000192e-03,-1.043820000000000050e+02
4.968888888888889051e+04,7.419620000000000035e-03,-1.043640000000000043e+02
4.970000000000000000e+04,7.480650000000000147e-03,-1.043880000000000052e+02
4.971111111111110949e+04,7.553129999999999913e-03,-1.043820000000000050e+02
4.972222222222221899e+04,7.629419999999999605e-03,-1.043880000000000052e+02
4.973333333333333576e+04,7.709530000000000029e-03,-1.044180000000000064e+02
4.974444444444444525e+04,7.797270000000000242e-03,-1.044300000000000068e+02
4.975555555555555475e+04,7.888849999999999335e-03,-1.044599999999999937e+02
4.976666666666666424e+04,7.980410000000000281e-03,-1.044839999999999947e+02
4.977777777777778101e+04,8.083399999999999266e-03,-1.045139999999999958e+02
4.978888888888889051e+04,8.197839999999999641e-03,-1.045499999999999972e+02
4.980000000000000000e+04,8.316099999999999881e-03,-1.045979999999999990e+02
4.981111111111110949e+04,8.441979999999999970e-03,-1.046340000000000003e+02
4.982222222222221899e+04,8.579309999999999714e-03,-1.046700000000000017e+02
4.983333333333333576e+04,8.728090000000000848e-03,-1.047300000000000040e+02
4.984444444444444525e+04,8.892119999999999885e-03,-1.047660000000000053e+02
4.985555555555555475e+04,9.071410000000000237e-03,-1.048379999999999939e+02
4.986666666666666424e+04,9.262140000000000303e-03,-1.048859999999999957e+02
4.987777777777778101e+04,9.479579999999999604e-03,-1.049339999999999975e+02
4.988888888888889051e+04,9.716090000000000143e-03,-1.049879999999999995e+02
4.990000000000000000e+04,9.979309999999999917e-03,-1.050360000000000014e+02
4.991111111111110949e+04,1.026919999999999916e-02,-1.051020000000000039e+02
4.992222222222221899e+04,1.060490000000000044e-02,-1.051740000000000066e+02
4.993333333333333576e+04,1.098260000000000035e-02,-1.052519999999999953e+02
4.994444444444444525e+04,1.142130000000000055e-02,-1.053119999999999976e+02
4.995555555555555475e+04,1.191719999999999932e-02,-1.054020000000000010e+02
4.996666666666666424e+04,1.250850000000000052e-02,-1.055040000000000049e+02
4.997777777777778101e+04,1.320269999999999951e-02,-1.055939999999999941e+02
4.998888888888889051e+04,1.404580000000000065e-02,-1.057079999999999984e+02
5.000000000000000000e+04,1.508340000000000028e-02,-1.058460000000000036e+02
5.001111111111110949e+04,1.639569999999999916e-02,-1.060139999999999958e+02
5.002222222222221899e+04,1.809699999999999850e-02,-1.062300000000000040e+02
5.003333333333333576e+04,2.041259999999999949e-02,-1.065540000000000020e+02
5.004444444444444525e+04,2.373139999999999972e-02,-1.070220000000000056e+02
5.005555555555555475e+04,2.888119999999999923e-02,-1.077540000000000049e+02
5.006666666666666424e+04,3.794499999999999956e-02,-1.090799999999999983e+02
5.007777777777778101e+04,5.810570000000000318e-02,-1.121340000000000003e+02
5.008888888888889051e+04,1.092189999999999966e-01,-1.248539999999999992e+02
5.010000000000000000e+04,1.092189999999999966e-01,1.067159999999999940e+02
5.011111111111110949e+04,5.656839999999999785e-02,8.613599999999999568e+01
5.012222222222221899e+04,3.086859999999999951e-02,8.193000000000000682e+01
5.013333333333333576e+04,2.030190000000000120e-02,8.037000000000000455e+01
5.014444444444444525e+04,1.454549999999999940e-02,7.962600000000000477e+01
5.015555555555555475e+04,1.092920000000000003e-02,7.922400000000000375e+01
5.016666666666666424e+04,8.438170000000000046e-03,7.900199999999999534e+01
5.017777777777778101e+04,6.629969999999999787e-03,7.884000000000000341e+01
5.018888888888889051e+04,5.245239999999999972e-03,7.871999999999999886e+01
5.020000000000000000e+04,4.154240000000000016e-03,7.861799999999999500e+01
5.021111111111110949e+04,3.261580000000000035e-03,7.857599999999999341e+01
5.022222222222221899e+04,2.532969999999999840e-03,7.861799999999999500e+01
5.023333333333333576e+04,1.911170000000000013e-03,7.875000000000000000e+01
5.024444444444444525e+04,1.388560000000000055e-03,7.893000000000000682e+01
5.025555555555555475e+04,9.307900000000000245e-04,7.949399999999999977e+01
5.026666666666666424e+04,5.340609999999999542e-04,8.106600000000000250e+01
5.027777777777778101e+04,1.869209999999999947e-04,8.798999999999999488e+01
5.028888888888889051e+04,1.297009999999999971e-04,-1.212180000000000035e+02
5.030000000000000000e+04,3.967299999999999776e-04,-1.090439999999999969e+02
5.031111111111110949e+04,6.446880000000000319e-04,-1.071239999999999952e+02
5.032222222222221899e+04,8.621250000000000441e-04,-1.063379999999999939e+02
