# sens: 25
# slope: 3
# t_int: 8
# ref_v: 0.1
# freqini: 50000freqfini: 50110n_med: 200Los datos estan ordenados de forma freqs, rs, ts.
5.000000000000000000e+04,1.501470000000000062e-02,-1.057800000000000011e+02
5.000055276381909789e+04,1.519779999999999916e-02,-1.057740000000000009e+02
5.000110552763818851e+04,1.525879999999999945e-02,-1.057800000000000011e+02
5.000165829145728640e+04,1.531989999999999914e-02,-1.058340000000000032e+02
5.000221105527638429e+04,1.538089999999999943e-02,-1.058460000000000036e+02
5.000276381909547490e+04,1.544200000000000086e-02,-1.058340000000000032e+02
5.000331658291457279e+04,1.547250000000000014e-02,-1.058460000000000036e+02
5.000386934673367068e+04,1.556399999999999971e-02,-1.058340000000000032e+02
5.000442211055276130e+04,1.562509999999999941e-02,-1.058280000000000030e+02
5.000497487437185919e+04,1.568620000000000084e-02,-1.058940000000000055e+02
5.000552763819095708e+04,1.574719999999999939e-02,-1.058880000000000052e+02
5.000608040201004769e+04,1.580820000000000142e-02,-1.058820000000000050e+02
5.000663316582914558e+04,1.586929999999999938e-02,-1.058880000000000052e+02
5.000718592964824347e+04,1.596080000000000068e-02,-1.059360000000000070e+02
5.000773869346733409e+04,1.602179999999999924e-02,-1.059300000000000068e+02
5.000829145728643198e+04,1.608290000000000067e-02,-1.059240000000000066e+02
5.000884422110552987e+04,1.614389999999999922e-02,-1.059120000000000061e+02
5.000939698492462048e+04,1.623549999999999993e-02,-1.059599999999999937e+02
5.000994974874371837e+04,1.629649999999999849e-02,-1.059539999999999935e+02
5.001050251256281626e+04,1.638809999999999920e-02,-1.059300000000000068e+02
5.001105527638190688e+04,1.644910000000000122e-02,-1.059779999999999944e+02
5.001160804020100477e+04,1.651009999999999978e-02,-1.059719999999999942e+02
5.001216080402010266e+04,1.663219999999999976e-02,-1.060019999999999953e+02
5.001271356783919327e+04,1.669319999999999832e-02,-1.060439999999999969e+02
5.001326633165829116e+04,1.675429999999999975e-02,-1.060379999999999967e+02
5.001381909547738906e+04,1.684580000000000105e-02,-1.060139999999999958e+02
5.001437185929647967e+04,1.690689999999999901e-02,-1.060619999999999976e+02
5.001492462311557756e+04,1.699840000000000031e-02,-1.060379999999999967e+02
5.001547738693467545e+04,1.709000000000000102e-02,-1.060679999999999978e+02
5.001603015075376607e+04,1.715099999999999958e-02,-1.061159999999999997e+02
5.001658291457286396e+04,1.724260000000000029e-02,-1.060859999999999985e+02
5.001713567839196185e+04,1.733410000000000159e-02,-1.061159999999999997e+02
5.001768844221105246e+04,1.742569999999999883e-02,-1.061460000000000008e+02
5.001824120603015035e+04,1.748670000000000085e-02,-1.061219999999999999e+02
5.001879396984924824e+04,1.760880000000000084e-02,-1.061520000000000010e+02
5.001934673366833886e+04,1.770029999999999867e-02,-1.061700000000000017e+02
5.001989949748743675e+04,1.779189999999999938e-02,-1.061940000000000026e+02
5.002045226130653464e+04,1.788340000000000068e-02,-1.062240000000000038e+02
5.002100502512562525e+04,1.797500000000000139e-02,-1.061880000000000024e+02
5.002155778894472314e+04,1.806649999999999923e-02,-1.062120000000000033e+02
5.002211055276382103e+04,1.815809999999999994e-02,-1.062240000000000038e+02
5.002266331658291165e+04,1.828010000000000052e-02,-1.062540000000000049e+02
